CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   0.13%     843.8MiB / 15.5GiB   5.32%     786MB / 2.29MB    358MB / 3.1GB     12
894c51829de4   cachito_threads-cachito-api-1      0.44%     160.2MiB / 15.5GiB   1.01%     149kB / 195kB     49.4MB / 303kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.18%     1.622GiB / 15.5GiB   10.47%    158kB / 143kB     51.3MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            104.73%   2.777GiB / 15.5GiB   17.91%    66.5MB / 32.2MB   257MB / 687MB     146
6e08b5e0ca0a   cachito_threads-db-1               0.00%     88.54MiB / 15.5GiB   0.56%     133kB / 97.5kB    28.6MB / 122MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     21.38MiB / 15.5GiB   0.13%     18.8kB / 3.13kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   0.59%     843.8MiB / 15.5GiB   5.32%     787MB / 2.3MB     358MB / 3.11GB    12
894c51829de4   cachito_threads-cachito-api-1      0.45%     160.2MiB / 15.5GiB   1.01%     153kB / 200kB     49.4MB / 311kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.20%     1.622GiB / 15.5GiB   10.47%    162kB / 146kB     51.3MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            58.12%    3.311GiB / 15.5GiB   21.36%    74.9MB / 33.1MB   257MB / 707MB     147
6e08b5e0ca0a   cachito_threads-db-1               0.01%     88.54MiB / 15.5GiB   0.56%     136kB / 99.9kB    28.6MB / 122MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     21.38MiB / 15.5GiB   0.13%     19.8kB / 3.19kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   0.66%     563.8MiB / 15.5GiB   3.55%     787MB / 2.32MB    358MB / 3.11GB    12
894c51829de4   cachito_threads-cachito-api-1      0.44%     155.2MiB / 15.5GiB   0.98%     156kB / 205kB     49.4MB / 319kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.15%     1.617GiB / 15.5GiB   10.43%    165kB / 150kB     52.7MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            54.98%    2.939GiB / 15.5GiB   18.96%    77.5MB / 33.6MB   258MB / 770MB     147
6e08b5e0ca0a   cachito_threads-db-1               0.00%     66.41MiB / 15.5GiB   0.42%     139kB / 102kB     28.6MB / 122MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     16.43MiB / 15.5GiB   0.10%     19.9kB / 3.3kB    29.5MB / 0B       14
